country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,12.9,14.3,16.1,20.9,24.6,21,21,26,23.3,22.7,24.3,33.4,34.2,39.8,42,40.1,41.6,52.5,54.1,57.4,49.3,58.3,58.3,69.5,107,86.4,94.5,95.8,96.9,93.2,96.4,90.3,110,93.6,88.9,78.7,72.4,61.1,50.9,26.8,29.5,23.3,22.9,35,34.6,42.5,39.8,35,34.6,37.2,38.1
China,,,,,,,,,,,,2.96,4.07,4.15,4.63,5.38,7.89,13,13.6,12.9,15.3,15.7,17,19.4,17.9,16.4,15.2,15.5,14.2,13.8,12.2,14,12.7,12.6,12.7,12.6,11.9,10.6,8.36,8.92,12.3,14.1,13.5,15.6,17,12.1,12.6,13.9,14.2,14.8,16.1
Cote d'Ivoire,26.3,33.9,32.4,35.9,35.9,39,40.6,42.4,50.5,55,77.1,103,128,144,135,153,135,148,143,177,187,199,189,197,231,189,174,142,124,113,124,117,108,89.5,89.1,73.1,79.8,73.5,55.4,63.6,48.8,52.4,36.8,33,28.5,25.4,24.4,26.9,29,34.8,42.2
Cameroon,14.3,16.1,16.1,16.3,17.2,17.4,23.9,42.4,35.9,38.9,46.3,44.5,45.2,44.8,41,38.2,35.4,35.6,39.5,49.7,55.7,61,66,50,110,106,105,105,105,96.8,106,95,87.6,73.9,58.9,40.5,16.5,13.2,10.4,11.6,11.7,10.2,13.1,15.6,16,23,23.7,28.4,27.8,33.1,34.7
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,239,271,237,217,226,284,63.1,164,119,131,115,93.3,81,77.4,66.6,73.3,29.7,22.3,20.3,20.5,16.7,15.2,13.8,13.8,10.8,11.5,12.9
"Congo, Rep.",44.3,44.4,39.1,36.2,45.7,48.4,53.2,79.6,95,95.6,98.9,79.4,96.9,105,99.8,150,186,183,212,209,212,210,185,236,357,489,359,303,345,306,205,245,230,214,216,125,97.9,71.8,53,56.6,23.3,23,22.1,24.4,26.8,42.3,49.6,57.8,44.8,53.7,61.1
Colombia,33.3,34.5,35,32.9,28.8,30.8,27.5,27.3,23.1,21.9,21.5,24.9,27.7,31,33.5,43.6,46.9,50.1,45.9,45.9,38.2,36.9,31.3,29.8,27.7,27.9,30.7,30.9,34.5,41.1,35.1,38.2,35.2,40.8,33.8,26.4,24.5,22.2,20.1,23.8,23.3,23.8,22.2,25.1,28.3,39.2,43.1,41.1,40.8,43.9,58.3
Comoros,,,,,,,,,,,20.7,27.9,37.4,44.9,56.9,68.6,60,60.4,56.4,51,43.1,42.4,40.7,40.7,61.7,52.3,55.7,60.9,62.2,60.5,66.1,64,63.6,53.2,48.2,44.3,42.1,36.1,30.2,31.7,30.7,27,24.9,13.2,12.3,13.5,17.7,17.2,20.7,22.7,24.5
Cape Verde,,,,,,,,,,,,28.1,43.3,54.5,59.8,71,60.3,55.1,46.9,46.6,43.3,41.8,39.6,30,43.3,44.2,40.7,42.4,47.8,56.3,60.9,62.1,64,55.2,51.2,50.9,49.3,39.2,35.9,43.4,55.6,58.1,74.9,83.6,87.7,101,96.8,105,92.1,93.9,125
Costa Rica,33,34.5,36.4,35,40.3,46.1,46,47.3,52.3,57.5,62,146,171,153,122,124,113,114,108,96.6,70.4,58.6,48,42,38.2,33.8,30.5,28,29.5,30.7,32.8,32.1,32.1,34.3,32,33.6,31.7,32.1,29.3,26.1,22.4,24.9,31.3,34.9,39.5,43.7,45.4,44.7,48,49.5,53.7
Djibouti,,,,,,,,,,,,,,,,,,,,,,42.4,44.2,47.5,50.7,52.9,56.5,51.1,53.2,49.2,52.5,51.2,59.2,61.5,66.9,66.8,71.6,92.9,81.9,83.9,67.1,61.7,58.1,40.7,43,51.1,67.5,86.4,80.9,79,81.5
Dominica,,,,,,,,,,,,17.5,22.9,39.9,48.2,50.1,46.3,50.4,45.2,44.5,46.2,46.3,43.1,41.1,39.4,40.1,42.6,36.7,37.1,43.8,62.3,73.9,81.5,97.2,97.3,87.8,72.7,66.1,59.2,57.2,56,57.2,64,64.7,55.5,61.1,53.7,58.9,51.3,47,63.5
Dominican Republic,26.4,26.4,23.7,22,21.4,20.3,22.2,26.4,29.5,30.3,32.4,34,33.7,36.1,31.9,75.6,64,72.6,80.6,65.3,66.4,48.6,42.2,40,31.3,28.6,25.2,22.4,21.5,22.7,19.9,21.3,25.3,36.4,38.1,22.9,25.6,25.7,22.9,25.5,26,27.1,37.9,40.1,41.1,39.2,39,40.9,41,45.2,59.3
Algeria,19.8,25,23,34.7,25.6,30.1,35.1,53.5,62.7,58.7,47.8,43.4,40.8,34.8,30.5,32.4,36.5,37.7,46.1,50.8,47.1,66,59.7,54.5,74.1,83.5,75.8,67.2,66.4,60.8,48.9,42.8,42.2,36.4,27.4,17.4,5.24,4.6,3.68,5.46,4.51,3.06,2.67,2.55,2.64,2.89,3.45,3.41,3.35,3.28,3.64
Ecuador,14.2,15.9,17.1,15.2,11,12.9,13.6,23,35.1,33.7,35.4,36.9,41.2,47.3,53.1,54.6,66,81.9,91.5,90.8,86.7,78.9,71.5,78.1,83.2,72.3,72.1,67.6,69.1,104,100,76.6,71.7,64.5,59.3,51.5,45.3,43.1,31.6,21.8,22.4,20.7,18.8,20.4,25,29.1,36.1,40.4,43,49.4,58.5
Egypt,22.6,24,21.2,20,24.3,42.5,49,84,90.9,87.9,94.7,108,106,104,101,101,107,111,133,116,78.8,86.6,74.1,65.5,62.4,55.3,46.3,37.9,37.8,34.1,29.1,29,34.8,38,40,34.2,28.7,26.3,20.7,18.7,17.1,15.3,14.7,16.5,14,15.4,21.1,36.7,41.2,39.4,37.2
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,5.46,6.27,6.46,11,19.5,39.3,46.6,57.7,74.8,76.2,69.5,69.5,68.4,68.4,72.9,57.1,66.1,51.5,37.3,,,,,,,,
Ethiopia,,,,,,,,,,,,25.2,42.6,45,52.3,55.2,62.6,70.4,71.2,68.9,71.4,68.2,89.7,111,147,136,119,119,134,72.9,67.4,70.2,84,85.1,65.2,49.9,14.6,13.1,10.5,16.5,24.4,27,24.2,26.5,30.6,31.8,31.6,32.2,33.2,29.8,28.4
Fiji,5.54,6.28,6.78,11.2,9.8,8.87,9.35,17,12.5,14.1,18.3,22.6,26.1,30.4,27.4,29.7,26.5,31.3,33.9,27.2,24.7,21,17.4,15.6,11.3,9.5,7.89,7.7,8.79,10.9,11.4,11.1,11.4,11.2,9.74,10,12.6,12,20.1,37.4,36.4,37.1,33.2,31.3,27.9,28,27.9,25.7,23.9,26.6,35.7
Gabon,33.8,40.7,57.1,59.6,37.2,44,43.6,55.5,70,64.5,39.3,32.1,30.3,29.5,27.5,39,61.6,86.2,80,84.8,74.6,87.1,79.2,103,113,102,87.5,92.9,112,97.9,91.4,78.5,72.4,65.7,62.7,46.3,48.9,48.4,18.7,25.4,23.5,20.3,21,30.4,27,38.8,41.3,46.5,43.2,46.4,52.5
Georgia,,,,,,,,,,,,,,,,,,,,,,,,21.2,58.7,48.2,45,40.3,43.3,62.8,59,58.9,59.7,53.7,44.6,33.2,32.5,29.3,60.6,80.9,73.1,73.7,77.4,80.6,81.4,102,113,106,102,112,133
Ghana,26.4,22.9,28.9,30.9,25.4,25.8,25.9,33.6,35,32,31.6,36.6,36.9,41.4,45,51,49.4,67.1,61.8,66.3,67.2,67.6,71.5,83.5,103,93.7,94.9,93.9,95.1,94,139,132,127,111,83.4,69.1,18.2,17.4,16.5,25.5,26.4,27.3,30.6,26.4,34.4,41.9,39,38.7,36.1,40.8,44.3
Guinea,,,,,,,,,,,,,,,,,95.9,108,100,95.8,96.5,89.8,82.5,86.6,91.8,88.4,84.8,94.8,102,94.6,105,106,108,99.2,95.5,116,75.6,53.2,46.5,49.4,47.9,48.2,17.8,21,21.6,23.5,26.3,23.2,22.6,23.3,29.1
Gambia,9.71,10.1,12.8,12,12.9,11.7,13.6,27.2,29.1,39.7,57.7,81.9,98.8,106,129,97.7,126,130,120,126,127,57.2,58,57.9,58.1,55.3,54.3,54.5,56.4,60,65.1,75.4,107,139,72.4,66.4,69.8,55.8,26.2,37.1,36.2,36.7,39.1,41,43.7,39.8,36.2,44.8,41.9,40,42.2
Guinea-Bissau,0,0,0,0,0,7.09,15.4,23.7,44.3,59.5,131,97.6,104,122,184,200,288,293,368,298,299,313,359,356,385,380,373,364,506,449,265,241,240,229,214,178,179,158,129,138,130,25.3,28,27.2,26.7,31.7,26.8,31.4,35.8,41.6,55.3
Grenada,,,,,,,,20.5,22,22.2,19.8,30.7,37.8,46,39.5,36.8,35.9,38.6,39.4,35.6,42.4,42.4,38.5,49.6,41.2,39,40,31.1,40.7,30.3,41,49.2,75.5,68.3,80.5,54.3,67.6,68,68.8,78.6,76.7,71.3,77,72.2,77,68.3,64.5,55.9,52.7,48,62.5
Guatemala,10.3,11.3,11.4,11.1,10.4,11.1,10.8,13.7,15,16.5,16.2,16.1,19.2,21.5,26.8,29.2,41.5,41.9,35.3,32.8,39.1,30.8,27.4,26.1,24.6,23,22.1,20,19.2,21.4,20.7,23.9,22.5,24.3,34.9,36.1,37.7,38.7,36.5,40.7,37.9,35.7,31.6,33.8,34.6,33.6,32.7,33.2,33.9,33.1,33
Guyana,33.6,59.3,57.7,61.1,53.7,68.3,99.2,124,127,137,150,181,239,299,360,397,399,673,594,648,679,926,727,543,448,395,246,235,224,229,206,201,207,208,181,154,50.3,31.2,32.9,45.3,40.9,54.5,48.3,54.9,56.4,38,36.7,33.4,33.8,29.9,32.7
Honduras,22.6,27.7,28.5,29.1,34.4,41.2,34.3,52.3,34.1,37.4,41.3,46.5,48.1,51.9,50.9,56.2,56.7,57.4,60.6,67.5,82.1,79.8,86.2,94.4,108,96.6,97,89.5,82.8,89.3,81.6,70.6,73.4,72.7,74.6,56.1,38.7,25.3,26.3,27,26.7,26.5,29.7,40.2,40.8,39.3,38,40.5,41.6,42.3,50
Haiti,,,,,,,,,,,27.9,34.1,41.8,40,40.7,39.3,33.6,44.7,33.9,31.7,30.5,23.3,37,45.3,35,29.7,31.6,32,28.6,29.4,17.7,20.3,21.2,28.4,21.3,18.7,18.8,16.8,18.7,12.5,8.07,5.95,8.45,10.5,12.9,14.1,15.4,14.4,13.4,14.9,15.9
Indonesia,38.1,51.1,54.8,46.4,37,39.5,38.7,37.3,36.5,38,30.2,27.6,28.8,39.1,39.6,44.9,56,72.7,67.4,66.1,69.2,71.6,72.2,58.7,62.6,63.4,58.3,65.1,168,117,93.5,85.9,67.7,59.5,56.3,52.3,39,35.7,32.1,34.5,27,25.3,28.3,29.8,34,37,35.4,36,37.5,37.1,40.5
India,13.6,13.9,14.1,12.9,12.8,14.1,14.2,12.7,12,11.9,11.1,11.6,13.5,14.1,15.5,16.8,18.1,19.3,20.2,25.2,26.4,31.9,30.9,33.2,30.3,26.3,24.1,22.8,23.5,21.9,21.8,20.7,20.7,19.7,17.6,14.9,17.1,16.8,19.1,19.2,17.5,18.5,21.7,23.3,22.7,23,20.3,19.5,19.5,19.7,21.4
Iran,,,,,,,,,,,4.85,3.91,6.54,4.51,3.17,3.34,2.77,4.59,4.75,5.42,7.23,,,36.7,30.5,22.6,13.9,10.3,11.2,8.54,8.02,6.51,6.93,9.25,11,9.46,7.69,5.94,3.87,4.47,4.06,2.97,1.24,1.51,1.34,1.67,1.45,1.53,1.95,1.88,2.69
Jamaica,73.1,70.1,57,65,59.7,56.6,50.7,53.8,57.7,76.4,78.4,82.9,92.4,101,173,228,173,162,133,115,115,126,143,84.4,91.2,74.5,57.2,47.2,46.6,47.2,55.8,62.6,61.5,64.6,68.3,62.7,71.8,86.8,79.4,97.1,112,103,98,93,104,103,105,103,121,121,135
Jordan,18.1,22.1,22.6,22.3,22.1,24.4,25.2,37.6,42.2,42.9,47.3,48.9,55.5,60.8,66.9,80.4,77.3,95.8,99.1,182,211,244,161,144,128,119,111,104,97.3,101,129,130,135,121,110,98.8,89.3,84,59.9,57.3,62.8,59.7,58.6,67.4,66.2,67.1,68.5,72.9,74.7,75.2,87.2
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,7.39,13.2,18.5,14,18.7,27.8,40.4,75.1,72.8,78,79.5,82.2,85.1,104,105,93.6,107,92.6,75.4,75.3,70.8,79.4,88.7,132,107,99.8,100,104
Kenya,30.2,28.4,28,35.1,40.2,40.7,44.8,38.3,42.5,45.3,48.1,48.6,54.5,62.7,58.6,70.6,65.8,75.2,72.3,73.3,86,95.8,87.8,132,105,83.8,57.6,49.9,48.9,51.3,48.9,42.8,46.8,45.6,43.4,34.6,26,23.7,21.4,23.2,22.2,23.9,23.5,25.2,27.9,31.3,28.5,33.4,34.6,35.3,38.5
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,0.239,14.4,27.1,37.6,63.6,78.7,96.1,158,150,124,126,116,121,95.1,93.2,76.7,73.5,91.4,91.7,99.2,93.8,98.6,102,120,123,111,102,104,117
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,56,56.7,65.3,60.4,59.7,56.7,58.4,59.8,56.4,48.9,43.6,27,26.7,33.2,37.4,38.1,50.7,52.3,52.6,55.7,53.5,54.9,59.1,60.1,70.8
